book,chunk_id,dom_dim,coverage,v_roll,a_roll,d_roll,vad_fused,diff_abs,diff_signed,text,prev_chunk_id,prev_text,next_chunk_id,next_text,roll_win
Romeo and Juliet.clean,0,A,0.54386,0.18284200000000003,-0.22671433333333332,0.076554,0.30114963194195965,0.11830763194195962,0.11830763194195962,"ACT I Scene I. A public place. Scene II. A Street. Scene III. Room in Capulet's House. Scene IV. A Street. Scene V. A Hall in Capulet's House. ACT II CHORUS. Scene I. An open place adjoining Capulet's Garden. Scene II. Capulet's Garden. Scene III. Friar Lawrence's Cell. Scene IV. A Street. Scene V. Capulet's Garden. Scene VI. Friar Lawrence's Cell. ACT III Scene I. A public Place. Scene II. A Room in Capulet's House. Scene III. Friar Lawrence's cell. Scene IV. A Room in Capulet's House. Scene V. An open Gallery to Juliet's Chamber, overlooking the Garden. ACT IV Scene I. Friar Lawrence's Cell. Scene II. Hall in Capulet's House. Scene III. Juliet's Chamber. Scene IV.",,,1,"VI. Friar Lawrence's Cell. ACT III Scene I. A public Place. Scene II. A Room in Capulet's House. Scene III. Friar Lawrence's cell. Scene IV. A Room in Capulet's House. Scene V. An open Gallery to Juliet's Chamber, overlooking the Garden. ACT IV Scene I. Friar Lawrence's Cell. Scene II. Hall in Capulet's House. Scene…",5
Romeo and Juliet.clean,19,V,0.612903,-0.0039239999999999995,-0.008098,0.0269644,-0.028426294998821072,0.024502294998821072,-0.024502294998821072,"Lady Capulet. CAPULET. What noise is this? Give me my long sword, ho! LADY CAPULET. A crutch, a crutch! Why call you for a sword? CAPULET. My sword, I say! Old Montague is come, And flourishes his blade in spite of me. Enter Montague and his Lady Montague. MONTAGUE. Thou villain Capulet! Hold me not, let me go. LADY MONTAGUE. Thou shalt not stir one foot to seek a foe. Enter Prince Escalus, with Attendants. PRINCE. Rebellious subjects, enemies to peace, Profaners of this neighbour-stained steel,— Will they not hear? What, ho!",18.0,"me. TYBALT. What, drawn, and talk of peace? I hate the word As I hate hell, all Montagues, and thee: Have at thee, coward. [_They fight._] Enter three or four Citizens with clubs. FIRST CITIZEN. Clubs, bills and partisans! Strike! Beat them down! Down with the Capulets! Down with the Montagues! Enter Capulet in his…",20,"is come, And flourishes his blade in spite of me. Enter Montague and his Lady Montague. MONTAGUE. Thou villain Capulet! Hold me not, let me go. LADY MONTAGUE. Thou shalt not stir one foot to seek a foe. Enter Prince Escalus, with Attendants. PRINCE. Rebellious subjects, enemies to peace, Profaners of this neighbour-…",5
Romeo and Juliet.clean,163,D,0.684211,0.08642499999999997,-0.185921,-0.10631779999999999,0.2309531845696006,0.14452818456960062,0.14452818456960062,"JULIET. I will not fail. 'Tis twenty years till then. I have forgot why I did call thee back. ROMEO. Let me stand here till thou remember it. JULIET. I shall forget, to have thee still stand there, Remembering how I love thy company. ROMEO. And I'll still stay, to have thee still forget, Forgetting any other home but this. JULIET. 'Tis almost morning; I would have thee gone, And yet no farther than a wanton's bird, That lets it hop a little from her hand, Like a poor prisoner in his twisted gyves, And with a silk thread plucks it back again, So loving-jealous of his liberty. ROMEO. I would I were thy bird. JULIET.",162.0,"JULIET. What o'clock tomorrow Shall I send to thee? ROMEO. By the hour of nine. JULIET. I will not fail. 'Tis twenty years till then. I have forgot why I did call thee back. ROMEO. Let me stand here till thou remember it. JULIET. I shall forget, to have thee still stand there, Remembering how I love thy company.…",164,"other home but this. JULIET. 'Tis almost morning; I would have thee gone, And yet no farther than a wanton's bird, That lets it hop a little from her hand, Like a poor prisoner in his twisted gyves, And with a silk thread plucks it back again, So loving-jealous of his liberty. ROMEO. I would I were thy bird. JULIET.…",5
Romeo and Juliet.clean,252,V,0.584906,-0.010601800000000024,-0.0314026,0.005304800000000007,-0.03356579141089929,0.02296399141089927,-0.02296399141089927,"Good Mercutio! [_Exeunt Tybalt with his Partizans._] MERCUTIO. I am hurt. A plague o' both your houses. I am sped. Is he gone, and hath nothing? BENVOLIO. What, art thou hurt? MERCUTIO. Ay, ay, a scratch, a scratch. Marry, 'tis enough. Where is my page? Go villain, fetch a surgeon. [_Exit Page._] ROMEO. Courage, man; the hurt cannot be much. MERCUTIO. No, 'tis not so deep as a well, nor so wide as a church door, but 'tis enough, 'twill serve. Ask for me tomorrow, and you shall find me a grave man. I am peppered, I warrant, for this world. A plague o' both your houses.",251.0,"ears? Make haste, lest mine be about your ears ere it be out. TYBALT. [_Drawing._] I am for you. ROMEO. Gentle Mercutio, put thy rapier up. MERCUTIO. Come, sir, your passado. [_They fight._] ROMEO. Draw, Benvolio; beat down their weapons. Gentlemen, for shame, forbear this outrage, Tybalt, Mercutio, the Prince…",253,"fetch a surgeon. [_Exit Page._] ROMEO. Courage, man; the hurt cannot be much. MERCUTIO. No, 'tis not so deep as a well, nor so wide as a church door, but 'tis enough, 'twill serve. Ask for me tomorrow, and you shall find me a grave man. I am peppered, I warrant, for this world. A plague o' both your houses. Zounds, a…",5
Romeo and Juliet.clean,276,D,0.70339,-0.007382600000000022,-0.0449276,-0.053871199999999994,-0.07053437611519649,0.06315177611519647,-0.06315177611519647,"thus? This torture should be roar'd in dismal hell. Hath Romeo slain himself? Say thou but Ay, And that bare vowel I shall poison more Than the death-darting eye of cockatrice. I am not I if there be such an I; Or those eyes shut that make thee answer Ay. If he be slain, say Ay; or if not, No. Brief sounds determine of my weal or woe. NURSE. I saw the wound, I saw it with mine eyes, God save the mark!—here on his manly breast. A piteous corse, a bloody piteous corse; Pale, pale as ashes, all bedaub'd in blood, All in gore-blood. I swounded at the sight. JULIET. O, break, my heart. Poor bankrout, break at once.",275.0,"wring thy hands? NURSE. Ah, well-a-day, he's dead, he's dead, he's dead! We are undone, lady, we are undone. Alack the day, he's gone, he's kill'd, he's dead. JULIET. Can heaven be so envious? NURSE. Romeo can, Though heaven cannot. O Romeo, Romeo. Who ever would have thought it? Romeo! JULIET. What devil art thou,…",277,"Brief sounds determine of my weal or woe. NURSE. I saw the wound, I saw it with mine eyes, God save the mark!—here on his manly breast. A piteous corse, a bloody piteous corse; Pale, pale as ashes, all bedaub'd in blood, All in gore-blood. I swounded at the sight. JULIET. O, break, my heart. Poor bankrout, break at…",5
Romeo and Juliet.clean,295,A,0.726496,-0.005156600000000024,0.026273200000000003,0.0160436,-0.031213277026931992,0.026056677026931967,-0.026056677026931967,"to banishment. This is dear mercy, and thou see'st it not. ROMEO. 'Tis torture, and not mercy. Heaven is here Where Juliet lives, and every cat and dog, And little mouse, every unworthy thing, Live here in heaven and may look on her, But Romeo may not. More validity, More honourable state, more courtship lives In carrion flies than Romeo. They may seize On the white wonder of dear Juliet's hand, And steal immortal blessing from her lips, Who, even in pure and vestal modesty Still blush, as thinking their own kisses sin. But Romeo may not, he is banished. This may flies do, when I from this must fly. They are free men but I am banished.",294.0,"death. Then banished Is death misterm'd. Calling death banished, Thou cutt'st my head off with a golden axe, And smilest upon the stroke that murders me. FRIAR LAWRENCE. O deadly sin, O rude unthankfulness! Thy fault our law calls death, but the kind Prince, Taking thy part, hath brush'd aside the law, And turn'd that…",296,"than Romeo. They may seize On the white wonder of dear Juliet's hand, And steal immortal blessing from her lips, Who, even in pure and vestal modesty Still blush, as thinking their own kisses sin. But Romeo may not, he is banished. This may flies do, when I from this must fly. They are free men but I am banished. And…",5
Romeo and Juliet.clean,325,A,0.678899,0.04951119999999998,-0.1678434,-0.0528794,0.18280863435122532,0.13329743435122535,0.13329743435122535,"ROMEO. It was the lark, the herald of the morn, No nightingale. Look, love, what envious streaks Do lace the severing clouds in yonder east. Night's candles are burnt out, and jocund day Stands tiptoe on the misty mountain tops. I must be gone and live, or stay and die. JULIET. Yond light is not daylight, I know it, I. It is some meteor that the sun exhales To be to thee this night a torchbearer And light thee on thy way to Mantua. Therefore stay yet, thou need'st not to be gone. ROMEO. Let me be ta'en, let me be put to death, I am content, so thou wilt have it so.",324.0,"Good night. [_Exeunt._] SCENE V. An open Gallery to Juliet's Chamber, overlooking the Garden. Enter Romeo and Juliet. JULIET. Wilt thou be gone? It is not yet near day. It was the nightingale, and not the lark, That pierc'd the fearful hollow of thine ear; Nightly she sings on yond pomegranate tree. Believe me, love,…",326,"is not daylight, I know it, I. It is some meteor that the sun exhales To be to thee this night a torchbearer And light thee on thy way to Mantua. Therefore stay yet, thou need'st not to be gone. ROMEO. Let me be ta'en, let me be put to death, I am content, so thou wilt have it so. I'll say yon grey is not the…",5
Romeo and Juliet.clean,399,D,0.640777,-0.008459800000000012,-0.0280972,-0.05070020000000001,-0.05857927230616646,0.05011947230616645,-0.05011947230616645,"buried ancestors are pack'd, Where bloody Tybalt, yet but green in earth, Lies festering in his shroud; where, as they say, At some hours in the night spirits resort— Alack, alack, is it not like that I, So early waking, what with loathsome smells, And shrieks like mandrakes torn out of the earth, That living mortals, hearing them, run mad. O, if I wake, shall I not be distraught, Environed with all these hideous fears, And madly play with my forefathers' joints? And pluck the mangled Tybalt from his shroud? And, in this rage, with some great kinsman's bone, As with a club, dash out my desperate brains?",398.0,"not, For he hath still been tried a holy man. How if, when I am laid into the tomb, I wake before the time that Romeo Come to redeem me? There's a fearful point! Shall I not then be stifled in the vault, To whose foul mouth no healthsome air breathes in, And there die strangled ere my Romeo comes? Or, if I live, is it…",400,"torn out of the earth, That living mortals, hearing them, run mad. O, if I wake, shall I not be distraught, Environed with all these hideous fears, And madly play with my forefathers' joints? And pluck the mangled Tybalt from his shroud? And, in this rage, with some great kinsman's bone, As with a club, dash out my…",5
Romeo and Juliet.clean,447,A,0.595506,0.04107159999999999,-0.1434204,-0.049217,0.15709424098839525,0.11602264098839526,0.11602264098839526,"Within this three hours will fair Juliet wake. She will beshrew me much that Romeo Hath had no notice of these accidents; But I will write again to Mantua, And keep her at my cell till Romeo come. Poor living corse, clos'd in a dead man's tomb. [_Exit._] SCENE III. A churchyard; in it a Monument belonging to the Capulets. Enter Paris, and his Page bearing flowers and a torch. PARIS. Give me thy torch, boy. Hence and stand aloof. Yet put it out, for I would not be seen.",446.0,"not nice, but full of charge, Of dear import, and the neglecting it May do much danger. Friar John, go hence, Get me an iron crow and bring it straight Unto my cell. FRIAR JOHN. Brother, I'll go and bring it thee. [_Exit._] FRIAR LAWRENCE. Now must I to the monument alone. Within this three hours will fair Juliet…",448,"keep her at my cell till Romeo come. Poor living corse, clos'd in a dead man's tomb. [_Exit._] SCENE III. A churchyard; in it a Monument belonging to the Capulets. Enter Paris, and his Page bearing flowers and a torch. PARIS. Give me thy torch, boy. Hence and stand aloof. Yet put it out, for I would not be seen. Under…",5
Romeo and Juliet.clean,470,V,0.646552,0.014978399999999989,-0.09876579999999999,0.0053602,0.10003882976244773,0.08506042976244774,0.08506042976244774,"an hour. FRIAR LAWRENCE. Go with me to the vault. BALTHASAR. I dare not, sir; My master knows not but I am gone hence, And fearfully did menace me with death If I did stay to look on his intents. FRIAR LAWRENCE. Stay then, I'll go alone. Fear comes upon me. O, much I fear some ill unlucky thing. BALTHASAR. As I did sleep under this yew tree here, I dreamt my master and another fought, And that my master slew him. FRIAR LAWRENCE. Romeo! [_Advances._] Alack, alack, what blood is this which stains The stony entrance of this sepulchre? What mean these masterless and gory swords To lie discolour'd by this place of peace? [_Enters the monument._] Romeo!",469.0,"lends his light To grubs and eyeless skulls? As I discern, It burneth in the Capels' monument. BALTHASAR. It doth so, holy sir, and there's my master, One that you love. FRIAR LAWRENCE. Who is it? BALTHASAR. Romeo. FRIAR LAWRENCE. How long hath he been there? BALTHASAR. Full half an hour. FRIAR LAWRENCE. Go with me to…",471,"BALTHASAR. As I did sleep under this yew tree here, I dreamt my master and another fought, And that my master slew him. FRIAR LAWRENCE. Romeo! [_Advances._] Alack, alack, what blood is this which stains The stony entrance of this sepulchre? What mean these masterless and gory swords To lie discolour'd by this place of…",5
